Country Name,Series Name,2019values
Grenada,Population density (people per sq. km of land area),360.9529412
Grenada,GDP per capita (constant 2015 US$),9247.898382
Guam,CO2 emissions (metric tons per capita),..
Guam,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",8.221834725
Guam,Population density (people per sq. km of land area),312.2666667
Guam,GDP per capita (constant 2015 US$),35378.95577
Guatemala,CO2 emissions (metric tons per capita),1.145372815
Guatemala,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",27.64788197
Guatemala,Population density (people per sq. km of land area),154.946118
Guatemala,GDP per capita (constant 2015 US$),4263.708444
Guinea,CO2 emissions (metric tons per capita),0.350765779
Guinea,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",52.51253174
Guinea,Population density (people per sq. km of land area),52.40737018
Guinea,GDP per capita (constant 2015 US$),937.7031315
Guinea-Bissau,CO2 emissions (metric tons per capita),0.165088606
Guinea-Bissau,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",54.06829369
Guinea-Bissau,Population density (people per sq. km of land area),70.07315078
Guinea-Bissau,GDP per capita (constant 2015 US$),633.7257459
Guyana,CO2 emissions (metric tons per capita),3.500331141
Guyana,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",20.10090382
Guyana,Population density (people per sq. km of land area),4.057673355
Guyana,GDP per capita (constant 2015 US$),6348.69809
Haiti,CO2 emissions (metric tons per capita),0.297241022
Haiti,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",19.03230796
Haiti,Population density (people per sq. km of land area),404.9505806
Haiti,GDP per capita (constant 2015 US$),1387.514913
Honduras,CO2 emissions (metric tons per capita),1.023855315
Honduras,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",22.87512366
Honduras,Population density (people per sq. km of land area),89.00553222
Honduras,GDP per capita (constant 2015 US$),2446.108097
"Hong Kong SAR, China",CO2 emissions (metric tons per capita),..
"Hong Kong SAR, China","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",..
"Hong Kong SAR, China",Population density (people per sq. km of land area),7150.380952
"Hong Kong SAR, China",GDP per capita (constant 2015 US$),44195.26234
Hungary,CO2 emissions (metric tons per capita),4.836876267
Hungary,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",16.49434933
Hungary,Population density (people per sq. km of land area),107.0692636
Hungary,GDP per capita (constant 2015 US$),15083.59917
Iceland,CO2 emissions (metric tons per capita),4.543450104
Iceland,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",5.698616135
Iceland,Population density (people per sq. km of land area),3.575949618
Iceland,GDP per capita (constant 2015 US$),57461.80196
India,CO2 emissions (metric tons per capita),1.752534366
India,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",83.19931634
India,Population density (people per sq. km of land area),465.1946394
India,GDP per capita (constant 2015 US$),1944.314837
Indonesia,CO2 emissions (metric tons per capita),2.245285771
Indonesia,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",19.37146134
Indonesia,Population density (people per sq. km of land area),143.5846338
Indonesia,GDP per capita (constant 2015 US$),3892.421662
"Iran, Islamic Rep.",CO2 emissions (metric tons per capita),7.222980003
"Iran, Islamic Rep.","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",38.01508315
"Iran, Islamic Rep.",Population density (people per sq. km of land area),53.35235871
"Iran, Islamic Rep.",GDP per capita (constant 2015 US$),5017.117215
Iraq,CO2 emissions (metric tons per capita),4.347264139
Iraq,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",48.46825216
Iraq,Population density (people per sq. km of land area),95.74024251
Iraq,GDP per capita (constant 2015 US$),4854.386495
Ireland,CO2 emissions (metric tons per capita),7.257748757
Ireland,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",7.854094218
Ireland,Population density (people per sq. km of land area),71.62636087
Ireland,GDP per capita (constant 2015 US$),75239.30289
Isle of Man,CO2 emissions (metric tons per capita),..
Isle of Man,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",..
Isle of Man,Population density (people per sq. km of land area),147.2508772
Isle of Man,GDP per capita (constant 2015 US$),95137.2757
Israel,CO2 emissions (metric tons per capita),6.935752154
Israel,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",19.75989688
Israel,Population density (people per sq. km of land area),418.3918669
Israel,GDP per capita (constant 2015 US$),39591.36876
Italy,CO2 emissions (metric tons per capita),5.311030987
Italy,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",16.08828133
Italy,Population density (people per sq. km of land area),201.9805456
Italy,GDP per capita (constant 2015 US$),32114.29986
Jamaica,CO2 emissions (metric tons per capita),2.983289697
Jamaica,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",15.28940246
Jamaica,Population density (people per sq. km of land area),259.8128347
Jamaica,GDP per capita (constant 2015 US$),5307.511041
Japan,CO2 emissions (metric tons per capita),8.478400575
Japan,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",13.46980666
Japan,Population density (people per sq. km of land area),347.4156379
Japan,GDP per capita (constant 2015 US$),36043.7844
Jordan,CO2 emissions (metric tons per capita),2.163621448
Jordan,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",30.64558855
Jordan,Population density (people per sq. km of land area),120.4888055
Jordan,GDP per capita (constant 2015 US$),3909.250043
Kazakhstan,CO2 emissions (metric tons per capita),11.05087035
Kazakhstan,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",20.29485447
Kazakhstan,Population density (people per sq. km of land area),6.85767789
Kazakhstan,GDP per capita (constant 2015 US$),11402.7584
Kenya,CO2 emissions (metric tons per capita),0.382362033
Kenya,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",21.61458718
Kenya,Population density (people per sq. km of land area),89.52357944
Kenya,GDP per capita (constant 2015 US$),1653.82898
Kiribati,CO2 emissions (metric tons per capita),0.592397035
